folder,results_problem_21,results_problem_12,results_problem_3,results_problem_22,results_problem_18,results_problem_4,results_problem_11,results_problem_14,results_problem_10,results_problem_16,results_problem_23,results_problem_9,results_problem_17,results_problem_2,results_problem_13,results_problem_20,results_problem_6,results_problem_5,results_problem_19,results_problem_1,results_problem_8,results_problem_7,results_problem_15,categories.thisRepN,categories.thisTrialN,categories.thisN,categories.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_kb.started,consent_kb.keys,consent_kb.rt,Gender.keys,Gender.rt,Age,instructions_text.started,instructions_text.stopped,instructions_kb.keys,instructions_kb.rt,instructions_kb.started,instructions_kb.stopped,trial_kb.keys,current_problem_num,category_resp,answer,seed,accuracy,feedback,trial_kb.rt,trial_kb.started,trial_kb.stopped,trial_image.started,trial_image.stopped,feedback_text.started,feedback_text.stopped,new_problem_kb.started,new_problem_text.started,new_problem_kb.keys,new_problem_kb.rt,Participant #,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.4778975,169.4778975,y,24.8656699,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,1,2023-10-30_10h01.51.479,colored_sorted,2021.2.3,59.96145685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,4.5860513,,,,,,,,,,,,,,,,,,,,,,,,,,140,1,2023-10-30_10h01.51.479,colored_sorted,2021.2.3,59.96145685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,203.338856,None,space,17.5723861,203.338856,None,,,,,,,,,,,,,,,,,,,140,1,2023-10-30_10h01.51.479,colored_sorted,2021.2.3,59.96145685
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_1_0012.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,f,21,A,A,1,1,Correct!,6.2289693,221.0021638,None,221.0021638,None,227.2567451,None,,,,,140,1,2023-10-30_10h01.51.479,colored_sorted,2021.2.3,59.96145685
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_0_0014.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,f,21,A,B,1,0,Incorrect!,11.6054921,228.2575388,None,228.2575388,None,239.8828697,None,,,,,140,1,2023-10-30_10h01.51.479,colored_sorted,2021.2.3,59.96145685
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_1_0001.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,f,21,A,A,1,1,Correct!,7.818597,240.900326,None,240.900326,None,248.7395412,None,,,,,140,1,2023-10-30_10h01.51.479,colored_sorted,2021.2.3,59.96145685
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_0_0012.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,f,21,A,B,1,0,Incorrect!,2.2892383,249.7736213,None,249.7736213,None,252.0920433,None,,,,,140,1,2023-10-30_10h01.51.479,colored_sorted,2021.2.3,59.96145685
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_1_0011.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,f,21,A,A,1,1,Correct!,7.5366192,253.1261604,None,253.1261604,None,260.6818125,None,,,,,140,1,2023-10-30_10h01.51.479,colored_sorted,2021.2.3,59.96145685
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_0_0005.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,j,21,B,B,1,1,Correct!,3.9621059,261.7326094,None,261.7326094,None,265.7189165,None,,,,,140,1,2023-10-30_10h01.51.479,colored_sorted,2021.2.3,59.96145685
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_21\sample_0_0006.png,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,f,21,A,B,1,0,Incorrect!,3.6609232,266.7697139,None,266.7697139,None,270.4557947,None,,,,,140,1,2023-10-30_10h01.51.479,colored_sorted,2021.2.3,59.96145685
